free_slots,occupied_slots,total_slots,occupancy_percent,frame_number,timestamp
97,216,313,69.0,1,2026-01-30 09:15:02
97,216,313,69.0,2,2026-01-30 09:15:03
97,216,313,69.0,3,2026-01-30 09:15:03
97,216,313,69.0,4,2026-01-30 09:15:03
97,216,313,69.0,5,2026-01-30 09:15:04
97,216,313,69.0,6,2026-01-30 09:15:04
97,216,313,69.0,7,2026-01-30 09:15:04
97,216,313,69.0,8,2026-01-30 09:15:05
97,216,313,69.0,9,2026-01-30 09:15:05
97,216,313,69.0,10,2026-01-30 09:15:05
97,216,313,69.0,11,2026-01-30 09:15:05
97,216,313,69.0,12,2026-01-30 09:15:06
97,216,313,69.0,13,2026-01-30 09:15:06
97,216,313,69.0,14,2026-01-30 09:15:06
97,216,313,69.0,15,2026-01-30 09:15:07
97,216,313,69.0,16,2026-01-30 09:15:07
97,216,313,69.0,17,2026-01-30 09:15:07
97,216,313,69.0,18,2026-01-30 09:15:08
97,216,313,69.0,19,2026-01-30 09:15:08
97,216,313,69.0,20,2026-01-30 09:15:08
97,216,313,69.0,21,2026-01-30 09:15:09
97,216,313,69.0,22,2026-01-30 09:15:09
97,216,313,69.0,23,2026-01-30 09:15:09
97,216,313,69.0,24,2026-01-30 09:15:10
97,216,313,69.0,25,2026-01-30 09:15:10
97,216,313,69.0,26,2026-01-30 09:15:11
97,216,313,69.0,27,2026-01-30 09:15:11
97,216,313,69.0,28,2026-01-30 09:15:12
97,216,313,69.0,29,2026-01-30 09:15:12
97,216,313,69.0,30,2026-01-30 09:15:13
97,216,313,69.0,31,2026-01-30 09:15:13
97,216,313,69.0,32,2026-01-30 09:15:14
98,215,313,68.7,33,2026-01-30 09:15:14
98,215,313,68.7,34,2026-01-30 09:15:15
98,215,313,68.7,35,2026-01-30 09:15:15
98,215,313,68.7,36,2026-01-30 09:15:15
98,215,313,68.7,37,2026-01-30 09:15:16
98,215,313,68.7,38,2026-01-30 09:15:16
97,216,313,69.0,39,2026-01-30 09:15:17
97,216,313,69.0,40,2026-01-30 09:15:17
97,216,313,69.0,41,2026-01-30 09:15:18
97,216,313,69.0,42,2026-01-30 09:15:18
97,216,313,69.0,43,2026-01-30 09:15:19
97,216,313,69.0,44,2026-01-30 09:15:19
97,216,313,69.0,45,2026-01-30 09:15:19
97,216,313,69.0,46,2026-01-30 09:15:20
97,216,313,69.0,47,2026-01-30 09:15:20
97,216,313,69.0,48,2026-01-30 09:15:21
97,216,313,69.0,49,2026-01-30 09:15:21
97,216,313,69.0,50,2026-01-30 09:15:21
97,216,313,69.0,51,2026-01-30 09:15:22
97,216,313,69.0,52,2026-01-30 09:15:22
97,216,313,69.0,53,2026-01-30 09:15:22
97,216,313,69.0,54,2026-01-30 09:15:23
97,216,313,69.0,55,2026-01-30 09:15:23
97,216,313,69.0,56,2026-01-30 09:15:23
97,216,313,69.0,57,2026-01-30 09:15:24
97,216,313,69.0,58,2026-01-30 09:15:24
97,216,313,69.0,59,2026-01-30 09:15:24
97,216,313,69.0,60,2026-01-30 09:15:25
97,216,313,69.0,61,2026-01-30 09:15:25
97,216,313,69.0,62,2026-01-30 09:15:25
97,216,313,69.0,63,2026-01-30 09:15:26
97,216,313,69.0,64,2026-01-30 09:15:26
97,216,313,69.0,65,2026-01-30 09:15:27
97,216,313,69.0,66,2026-01-30 09:15:27
97,216,313,69.0,67,2026-01-30 09:15:27
97,216,313,69.0,68,2026-01-30 09:15:28
97,216,313,69.0,69,2026-01-30 09:15:28
97,216,313,69.0,70,2026-01-30 09:15:28
97,216,313,69.0,71,2026-01-30 09:15:29
97,216,313,69.0,72,2026-01-30 09:15:29
97,216,313,69.0,73,2026-01-30 09:15:29
97,216,313,69.0,74,2026-01-30 09:15:30
97,216,313,69.0,75,2026-01-30 09:15:30
97,216,313,69.0,76,2026-01-30 09:15:30
97,216,313,69.0,77,2026-01-30 09:15:31
97,216,313,69.0,78,2026-01-30 09:15:31
98,215,313,68.7,79,2026-01-30 09:15:31
98,215,313,68.7,80,2026-01-30 09:15:32
98,215,313,68.7,81,2026-01-30 09:15:32
98,215,313,68.7,82,2026-01-30 09:15:32
98,215,313,68.7,83,2026-01-30 09:15:33
98,215,313,68.7,84,2026-01-30 09:15:33
98,215,313,68.7,85,2026-01-30 09:15:33
98,215,313,68.7,86,2026-01-30 09:15:34
97,216,313,69.0,87,2026-01-30 09:15:34
97,216,313,69.0,88,2026-01-30 09:15:34
97,216,313,69.0,89,2026-01-30 09:15:35
97,216,313,69.0,90,2026-01-30 09:15:35
97,216,313,69.0,91,2026-01-30 09:15:35
97,216,313,69.0,92,2026-01-30 09:15:36
97,216,313,69.0,93,2026-01-30 09:15:36
97,216,313,69.0,94,2026-01-30 09:15:37
97,216,313,69.0,95,2026-01-30 09:15:37
97,216,313,69.0,96,2026-01-30 09:15:37
97,216,313,69.0,97,2026-01-30 09:15:38
97,216,313,69.0,98,2026-01-30 09:15:38
97,216,313,69.0,99,2026-01-30 09:15:38
97,216,313,69.0,100,2026-01-30 09:15:39
97,216,313,69.0,101,2026-01-30 09:15:39
97,216,313,69.0,102,2026-01-30 09:15:39
97,216,313,69.0,103,2026-01-30 09:15:40
97,216,313,69.0,104,2026-01-30 09:15:40
97,216,313,69.0,105,2026-01-30 09:15:40
97,216,313,69.0,106,2026-01-30 09:15:41
97,216,313,69.0,107,2026-01-30 09:15:41
97,216,313,69.0,108,2026-01-30 09:15:41
97,216,313,69.0,109,2026-01-30 09:15:42
97,216,313,69.0,110,2026-01-30 09:15:42
97,216,313,69.0,111,2026-01-30 09:15:42
97,216,313,69.0,112,2026-01-30 09:15:43
97,216,313,69.0,113,2026-01-30 09:15:43
98,215,313,68.7,114,2026-01-30 09:15:43
98,215,313,68.7,115,2026-01-30 09:15:44
98,215,313,68.7,116,2026-01-30 09:15:44
98,215,313,68.7,117,2026-01-30 09:15:45
98,215,313,68.7,118,2026-01-30 09:15:45
98,215,313,68.7,119,2026-01-30 09:15:45
98,215,313,68.7,120,2026-01-30 09:15:46
98,215,313,68.7,121,2026-01-30 09:15:46
98,215,313,68.7,122,2026-01-30 09:15:46
98,215,313,68.7,123,2026-01-30 09:15:47
98,215,313,68.7,124,2026-01-30 09:15:47
98,215,313,68.7,125,2026-01-30 09:15:47
98,215,313,68.7,126,2026-01-30 09:15:48
98,215,313,68.7,127,2026-01-30 09:15:48
98,215,313,68.7,128,2026-01-30 09:15:48
98,215,313,68.7,129,2026-01-30 09:15:49
98,215,313,68.7,130,2026-01-30 09:15:49
98,215,313,68.7,131,2026-01-30 09:15:50
98,215,313,68.7,132,2026-01-30 09:15:50
98,215,313,68.7,133,2026-01-30 09:15:50
98,215,313,68.7,134,2026-01-30 09:15:51
98,215,313,68.7,135,2026-01-30 09:15:51
98,215,313,68.7,136,2026-01-30 09:15:51
98,215,313,68.7,137,2026-01-30 09:15:52
99,214,313,68.4,138,2026-01-30 09:15:52
99,214,313,68.4,139,2026-01-30 09:15:52
99,214,313,68.4,140,2026-01-30 09:15:53
99,214,313,68.4,141,2026-01-30 09:15:53
99,214,313,68.4,142,2026-01-30 09:15:53
99,214,313,68.4,143,2026-01-30 09:15:54
99,214,313,68.4,144,2026-01-30 09:15:54
99,214,313,68.4,145,2026-01-30 09:15:54
98,215,313,68.7,146,2026-01-30 09:15:55
98,215,313,68.7,147,2026-01-30 09:15:55
98,215,313,68.7,148,2026-01-30 09:15:55
98,215,313,68.7,149,2026-01-30 09:15:56
98,215,313,68.7,150,2026-01-30 09:15:56
98,215,313,68.7,151,2026-01-30 09:15:56
99,214,313,68.4,152,2026-01-30 09:15:57
99,214,313,68.4,153,2026-01-30 09:15:57
99,214,313,68.4,154,2026-01-30 09:15:57
99,214,313,68.4,155,2026-01-30 09:15:58
99,214,313,68.4,156,2026-01-30 09:15:58
99,214,313,68.4,157,2026-01-30 09:15:58
99,214,313,68.4,158,2026-01-30 09:15:59
99,214,313,68.4,159,2026-01-30 09:15:59
98,215,313,68.7,160,2026-01-30 09:16:00
98,215,313,68.7,161,2026-01-30 09:16:00
98,215,313,68.7,162,2026-01-30 09:16:00
98,215,313,68.7,163,2026-01-30 09:16:01
98,215,313,68.7,164,2026-01-30 09:16:01
98,215,313,68.7,165,2026-01-30 09:16:01
99,214,313,68.4,166,2026-01-30 09:16:02
99,214,313,68.4,167,2026-01-30 09:16:02
99,214,313,68.4,168,2026-01-30 09:16:02
99,214,313,68.4,169,2026-01-30 09:16:03
99,214,313,68.4,170,2026-01-30 09:16:03
99,214,313,68.4,171,2026-01-30 09:16:03
98,215,313,68.7,172,2026-01-30 09:16:04
98,215,313,68.7,173,2026-01-30 09:16:04
98,215,313,68.7,174,2026-01-30 09:16:04
99,214,313,68.4,175,2026-01-30 09:16:05
99,214,313,68.4,176,2026-01-30 09:16:05
99,214,313,68.4,177,2026-01-30 09:16:06
99,214,313,68.4,178,2026-01-30 09:16:06
99,214,313,68.4,179,2026-01-30 09:16:06
99,214,313,68.4,180,2026-01-30 09:16:07
98,215,313,68.7,181,2026-01-30 09:16:07
98,215,313,68.7,182,2026-01-30 09:16:07
98,215,313,68.7,183,2026-01-30 09:16:08
98,215,313,68.7,184,2026-01-30 09:16:08
98,215,313,68.7,185,2026-01-30 09:16:08
98,215,313,68.7,186,2026-01-30 09:16:09
98,215,313,68.7,187,2026-01-30 09:16:09
98,215,313,68.7,188,2026-01-30 09:16:09
98,215,313,68.7,189,2026-01-30 09:16:10
98,215,313,68.7,190,2026-01-30 09:16:10
98,215,313,68.7,191,2026-01-30 09:16:10
98,215,313,68.7,192,2026-01-30 09:16:11
98,215,313,68.7,193,2026-01-30 09:16:11
98,215,313,68.7,194,2026-01-30 09:16:11
98,215,313,68.7,195,2026-01-30 09:16:12
98,215,313,68.7,196,2026-01-30 09:16:12
98,215,313,68.7,197,2026-01-30 09:16:12
98,215,313,68.7,198,2026-01-30 09:16:13
98,215,313,68.7,199,2026-01-30 09:16:13
98,215,313,68.7,200,2026-01-30 09:16:13
98,215,313,68.7,201,2026-01-30 09:16:14
98,215,313,68.7,202,2026-01-30 09:16:14
98,215,313,68.7,203,2026-01-30 09:16:14
98,215,313,68.7,204,2026-01-30 09:16:15
98,215,313,68.7,205,2026-01-30 09:16:15
98,215,313,68.7,206,2026-01-30 09:16:16
98,215,313,68.7,207,2026-01-30 09:16:16
98,215,313,68.7,208,2026-01-30 09:16:16
98,215,313,68.7,209,2026-01-30 09:16:17
